epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0415,2.89582,3.56936,4.28239,0.00499,0.75385,0.01631,0.00553,2.77532,3.38528,4.1585,4e-05,4e-05,4e-05
2,23.3541,3.25965,3.66501,4.22831,0.00488,0.73846,0.02382,0.00727,2.77482,3.38632,4.15784,9.505e-05,9.505e-05,9.505e-05
3,34.4482,2.96296,3.49054,4.18519,0.00489,0.73846,0.08193,0.0231,2.77412,3.38602,4.15668,0.00014416,0.00014416,0.00014416
4,45.6351,2.50337,3.68209,4.28973,0.00499,0.75385,0.02699,0.00831,2.77317,3.38523,4.15526,0.00018733,0.00018733,0.00018733
5,56.9879,3.07085,3.54173,4.19953,0.00509,0.76923,0.02527,0.00751,2.77356,3.38464,4.15397,0.00022456,0.00022456,0.00022456
6,68.1915,2.98755,3.50045,4.26445,0.00489,0.73846,0.02117,0.00703,2.77423,3.38463,4.15324,0.00025585,0.00025585,0.00025585
7,79.3032,3.07082,3.40101,4.17726,0.00509,0.76923,0.02025,0.00654,2.77548,3.38461,4.15177,0.0002812,0.0002812,0.0002812
8,90.3898,3.25423,3.42875,4.12522,0.00499,0.75385,0.02701,0.00734,2.77604,3.38509,4.15094,0.00030061,0.00030061,0.00030061
9,101.447,3.00652,3.29956,4.16521,0.00499,0.75385,0.02183,0.00628,2.77458,3.38675,4.14893,0.00031408,0.00031408,0.00031408
10,112.449,2.99166,3.42096,4.11571,0.00499,0.75385,0.027,0.00719,2.77244,3.38705,4.14764,0.00032161,0.00032161,0.00032161
11,123.445,2.71694,3.5897,4.16277,0.00499,0.75385,0.02212,0.00608,2.76921,3.38695,4.14503,0.0003232,0.0003232,0.0003232
12,134.398,2.91809,4.29101,4.2054,0.00489,0.73846,0.02598,0.00698,2.771,3.38601,4.14439,0.00031885,0.00031885,0.00031885
13,145.815,2.95809,3.48623,4.09035,0.00509,0.76923,0.02493,0.00701,2.77759,3.38465,4.14374,0.00030856,0.00030856,0.00030856
14,156.953,2.6031,3.56812,4.04996,0.00519,0.78462,0.02666,0.00747,2.78283,3.38341,4.14348,0.00029233,0.00029233,0.00029233
15,168.209,2.43808,3.62062,4.02352,0.00519,0.78462,0.02933,0.00823,2.80302,3.38664,4.14662,0.00027016,0.00027016,0.00027016
16,179.278,2.87631,3.69231,4.04503,0.00509,0.76923,0.02635,0.00758,2.81491,3.38902,4.14881,0.00024205,0.00024205,0.00024205
17,190.318,3.04534,3.69544,4.09479,0.00519,0.78462,0.02021,0.00583,2.84394,3.39282,4.15589,0.000208,0.000208,0.000208
18,201.367,2.77752,3.80409,4.05721,0.00509,0.76923,0.01728,0.00532,2.85835,3.39261,4.14997,0.00016801,0.00016801,0.00016801
19,212.454,2.36708,3.4987,3.99828,0.00509,0.76923,0.01655,0.00513,2.87141,3.38962,4.15261,0.00012208,0.00012208,0.00012208
20,223.57,2.8293,3.37779,4.02233,0.00499,0.75385,0.01575,0.00508,2.88173,3.38725,4.15516,7.021e-05,7.021e-05,7.021e-05
